Market,Commodity,Classification,Grade,Sex,Wholesale,Retail,County,Date
Nyamakima,Dry Maize,White Maize,-,-,45.00/Kg,70.00/Kg,Nairobi,2024-11-22
Nyamakima,Dry Maize,White Maize,-,-,45.00/Kg,70.00/Kg,Nairobi,2024-11-19
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,65.00/Kg,Nairobi,2024-11-18
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-11-15
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-11-14
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-11-14
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-11-13
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-11-13
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-11-12
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-11-12
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-11-11
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-11-08
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-11-07
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-11-06
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-11-06
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-11-05
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-11-04
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-10-31
Nyamakima,Dry Maize,Mixed-Traditional,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-10-30
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,Nairobi,2024-10-30
Nyamakima,Dry Maize,Mixed-Traditional,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-10-29
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-10-28
Nyamakima,Dry Maize,Mixed-Traditional,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-10-25
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-10-23
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-10-22
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-10-17
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-10-16
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-10-15
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-10-14
Nyamakima,Dry Maize,White Maize,-,-,40.00/Kg,70.00/Kg,Nairobi,2024-10-11
Nyamakima,Dry Maize,White Maize,-,-,40.00/Kg,70.00/Kg,Nairobi,2024-10-09
Nyamakima,Dry Maize,White Maize,-,-,3700.00/Kg,70.00/Kg,Nairobi,2024-10-08
Nyamakima,Dry Maize,White Maize,-,-,40.00/Kg,70.00/Kg,Nairobi,2024-10-07
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-10-04
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-10-03
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-10-02
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,Nairobi,2024-10-01
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,Nairobi,2024-09-30
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-09-27
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-09-25
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-09-24
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,70.00/Kg,Nairobi,2024-09-23
Nyamakima,Dry Maize,White Maize,-,-,38.89/Kg,60.00/Kg,Nairobi,2024-09-20
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,Nairobi,2024-09-18
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,Nairobi,2024-09-17
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,Nairobi,2024-09-16
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,Nairobi,2024-09-16
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,Nairobi,2024-09-13
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,Nairobi,2024-09-12
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,Nairobi,2024-09-11
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,Nairobi,2024-09-10
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,Nairobi,2024-09-06
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,Nairobi,2024-09-05
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,Nairobi,2024-09-04
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,60.00/Kg,Nairobi,2024-09-03
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-08-30
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-08-29
Nyamakima,Dry Maize,Mixed-Traditional,-,-,40.00/Kg,55.00/Kg,Nairobi,2024-08-29
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-08-28
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-08-27
Nyamakima,Dry Maize,Mixed-Traditional,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-08-26
Nyamakima,Dry Maize,White Maize,-,-,76.00/Kg,110.00/Kg,Nairobi,2024-08-26
Nyamakima,Dry Maize,White Maize,-,-,40.00/Kg,70.00/Kg,Nairobi,2024-08-22
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-08-21
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-08-20
Nyamakima,Dry Maize,White Maize,-,-,40.00/Kg,68.00/Kg,Nairobi,2024-08-19
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-08-15
Nyamakima,Dry Maize,White Maize,-,-,40.00/Kg,70.00/Kg,Nairobi,2024-08-15
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-08-13
Nyamakima,Dry Maize,White Maize,-,-,40.00/Kg,70.00/Kg,Nairobi,2024-08-12
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-08-12
Nyamakima,Dry Maize,White Maize,-,-,40.00/Kg,70.00/Kg,Nairobi,2024-08-09
Nyamakima,Dry Maize,Mixed-Traditional,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-08-07
Nyamakima,Dry Maize,White Maize,-,-,40.00/Kg,70.00/Kg,Nairobi,2024-08-06
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-08-05
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-08-02
Nyamakima,Dry Maize,White Maize,-,-,44.44/Kg,70.00/Kg,Nairobi,2024-08-01
